,x_avg_pixel,amostras,proporção,higher_than_threshold
151,0.13179383,ddgan,0.3,0.0
152,0.10073146,ddgan,0.3,0.0
153,0.09817325,ddgan,0.3,0.0
154,0.86794585,ddgan,0.3,1.0
155,0.14926471,ddgan,0.3,0.0
156,0.102416515,ddgan,0.3,0.0
157,0.13512178,ddgan,0.3,0.0
158,0.8596852,ddgan,0.3,1.0
159,0.13893612,ddgan,0.3,0.0
160,0.8891161,ddgan,0.3,1.0
161,0.10227098,ddgan,0.3,0.0
162,0.11382124,ddgan,0.3,0.0
163,0.09308365,ddgan,0.3,0.0
164,0.116762415,ddgan,0.3,0.0
165,0.85036767,ddgan,0.3,1.0
166,0.061990656,ddgan,0.3,0.0
167,0.12772672,ddgan,0.3,0.0
168,0.054702822,ddgan,0.3,0.0
169,0.8133273,ddgan,0.3,1.0
170,0.04437424,ddgan,0.3,0.0
171,0.0692402,ddgan,0.3,0.0
172,0.9283471,ddgan,0.3,1.0
173,0.88063335,ddgan,0.3,1.0
174,0.8761107,ddgan,0.3,1.0
175,0.09763328,ddgan,0.3,0.0
176,0.14463082,ddgan,0.3,0.0
177,0.12490426,ddgan,0.3,0.0
178,0.13686045,ddgan,0.3,0.0
179,0.9034774,ddgan,0.3,1.0
180,0.115950525,ddgan,0.3,0.0
181,0.05626149,ddgan,0.3,0.0
182,0.1311734,ddgan,0.3,0.0
183,0.8959942,ddgan,0.3,1.0
184,0.18696003,ddgan,0.3,0.0
185,0.1929228,ddgan,0.3,0.0
186,0.100520834,ddgan,0.3,0.0
187,0.13952589,ddgan,0.3,0.0
188,0.15056679,ddgan,0.3,0.0
189,0.8249311,ddgan,0.3,1.0
190,0.1201823,ddgan,0.3,0.0
191,0.075340845,ddgan,0.3,0.0
192,0.85245097,ddgan,0.3,1.0
193,0.12090227,ddgan,0.3,0.0
194,0.8951708,ddgan,0.3,1.0
195,0.10538067,ddgan,0.3,0.0
196,0.100068934,ddgan,0.3,0.0
197,0.888446,ddgan,0.3,1.0
198,0.1567134,ddgan,0.3,0.0
199,0.14627758,ddgan,0.3,0.0
200,0.102971815,ddgan,0.3,0.0
201,0.18944931,ddgan,0.3,0.0
202,0.11738665,ddgan,0.3,0.0
203,0.18619409,ddgan,0.3,0.0
204,0.076079965,ddgan,0.3,0.0
205,0.10208716,ddgan,0.3,0.0
206,0.22123927,ddgan,0.3,0.0
207,0.8446959,ddgan,0.3,1.0
208,0.09807368,ddgan,0.3,0.0
209,0.08982844,ddgan,0.3,0.0
210,0.17639783,ddgan,0.3,0.0
211,0.12117035,ddgan,0.3,0.0
212,0.16303617,ddgan,0.3,0.0
213,0.095312506,ddgan,0.3,0.0
214,0.12450597,ddgan,0.3,0.0
215,0.08125384,ddgan,0.3,0.0
216,0.1407284,ddgan,0.3,0.0
217,0.12694164,ddgan,0.3,0.0
218,0.8942325,ddgan,0.3,1.0
219,0.8510111,ddgan,0.3,1.0
220,0.09682138,ddgan,0.3,0.0
221,0.0548292,ddgan,0.3,0.0
222,0.12803692,ddgan,0.3,0.0
223,0.17341071,ddgan,0.3,0.0
224,0.052236523,ddgan,0.3,0.0
225,0.18848424,ddgan,0.3,0.0
226,0.8221891,ddgan,0.3,1.0
227,0.12771523,ddgan,0.3,0.0
228,0.85431993,ddgan,0.3,1.0
229,0.854496,ddgan,0.3,1.0
230,0.8561236,ddgan,0.3,1.0
231,0.18817785,ddgan,0.3,0.0
232,0.1579274,ddgan,0.3,0.0
233,0.28096277,ddgan,0.3,0.0
234,0.88647753,ddgan,0.3,1.0
235,0.15944776,ddgan,0.3,0.0
236,0.88028497,ddgan,0.3,1.0
237,0.1280867,ddgan,0.3,0.0
238,0.1446691,ddgan,0.3,0.0
239,0.22643611,ddgan,0.3,0.0
240,0.13192019,ddgan,0.3,0.0
241,0.13704427,ddgan,0.3,0.0
242,0.12446768,ddgan,0.3,0.0
243,0.2363396,ddgan,0.3,0.0
244,0.2406135,ddgan,0.3,0.0
245,0.89755666,ddgan,0.3,1.0
246,0.9186199,ddgan,0.3,1.0
247,0.11737899,ddgan,0.3,0.0
248,0.09974341,ddgan,0.3,0.0
249,0.13769914,ddgan,0.3,0.0
250,0.23211168,ddgan,0.3,0.0
251,0.12046186,ddgan,0.3,0.0
252,0.17727865,ddgan,0.3,0.0
253,0.12192862,ddgan,0.3,0.0
254,0.07882966,ddgan,0.3,0.0
255,0.93939185,ddgan,0.3,1.0
256,0.082705274,ddgan,0.3,0.0
257,0.88963693,ddgan,0.3,1.0
258,0.15268843,ddgan,0.3,0.0
259,0.16134344,ddgan,0.3,0.0
260,0.12467832,ddgan,0.3,0.0
261,0.7580691,ddgan,0.3,1.0
262,0.8860295,ddgan,0.3,1.0
263,0.8973422,ddgan,0.3,1.0
264,0.9244907,ddgan,0.3,1.0
265,0.17869563,ddgan,0.3,0.0
266,0.058111217,ddgan,0.3,0.0
267,0.10968904,ddgan,0.3,0.0
268,0.18732384,ddgan,0.3,0.0
269,0.044680607,ddgan,0.3,0.0
270,0.8034352,ddgan,0.3,1.0
271,0.07574679,ddgan,0.3,0.0
272,0.11064262,ddgan,0.3,0.0
273,0.90193015,ddgan,0.3,1.0
274,0.12673867,ddgan,0.3,0.0
275,0.18554305,ddgan,0.3,0.0
276,0.8869562,ddgan,0.3,1.0
277,0.08014323,ddgan,0.3,0.0
278,0.121756285,ddgan,0.3,0.0
279,0.15534237,ddgan,0.3,0.0
280,0.1155216,ddgan,0.3,0.0
281,0.8958141,ddgan,0.3,1.0
282,0.90162,ddgan,0.3,1.0
283,0.19726181,ddgan,0.3,0.0
